target_return,return,volatility,sharpe,weight_CGNX,weight_EMR,weight_HON,weight_ISRG,weight_NVDA,weight_PH,weight_QQQ,weight_ROK,weight_SPY,weight_TER
0.22492512329589653,0.22492512332210107,0.16515201289533543,1.1197267298176787,0.0,0.0,0.2758588369782115,1.078003273327763e-16,6.948662996909624e-18,0.0,0.0,4.573409862193189e-17,0.7241411630217885,0.0
0.25437261775846587,0.25437261779076087,0.1666496663311944,1.286366918759521,6.0878477418142156e-18,3.3547145572639906e-17,0.3343711573726937,5.0613288887075686e-17,0.0,0.0,1.6653345369377348e-16,0.0,0.6656288426273061,0.0
0.2838201122210351,0.28382011224464637,0.16881994115745416,1.4442613270267723,0.0,0.0,0.3928834777378193,6.508186744530345e-17,0.0,0.0,6.938893903907228e-17,0.0,0.607116522262181,4.893140552884004e-17
0.3132676066836044,0.3132676068395364,0.171637324323826,1.5921222724491197,8.875593708795317e-17,2.4545807863674355e-18,0.45139579838312144,0.0,0.0,0.0,0.0,0.0,0.548604201616879,0.0
0.34271510114617365,0.3427151010122075,0.17507057711834212,1.7291032336494885,2.0992347231693987e-17,5.2065559765732026e-17,0.5099081181894726,0.0,4.5321136794421255e-17,0.0,0.0,0.0,0.4900918818105275,0.0
0.372162595608743,0.37216259560419745,0.1790211920670371,1.8554372907974737,4.234830672420508e-18,0.0,0.5563339101372347,0.0,0.007732261282408014,0.0,2.67953350896375e-17,2.1415908569891514e-17,0.4359338285803574,0.0
0.4016100900713123,0.4016100900852255,0.18320708817177214,1.9737778362930232,0.0,0.0,0.5922524692664256,0.0,0.022186441643097618,0.0,0.0,0.0,0.38556108909047726,0.0
0.43105758453388154,0.43105758455690424,0.18758849522745558,2.0846565461423285,0.0,6.027226673614821e-17,0.6292140558735289,1.1114428637870155e-17,0.03597335339976883,5.6192884399296434e-18,0.0,6.3154280371259735e-19,0.3348125907267025,4.06142641361101e-17
0.4605050789964509,0.4605050789891516,0.19215167291681068,2.1884018629970674,2.3533974929339328e-17,6.327978357460635e-18,0.6661339429976124,0.0,0.049786942021274136,5.031576880968007e-17,0.0,0.0,0.2840791149811135,0.0
0.4899525734590202,0.4899525734687593,0.19688398369704965,2.285369104279771,0.0,0.0,0.7030647218534146,5.655893552817226e-17,0.06359356280362832,0.0,0.0,3.360656152466568e-17,0.23334171534295697,0.0
0.5194000679215893,0.5194000679053621,0.2017738098808893,2.375928115687366,2.046389651630277e-17,0.0,0.7390845100084744,0.0,0.07798298263795886,0.0,0.0,0.0,0.18293250735356692,2.257086169603434e-17
0.5488475623841587,0.5488475623839766,0.206809250678306,2.4604680918045316,3.754738131558759e-17,0.0,0.7775122238489174,1.3743237346936824e-17,0.09083195108402622,0.0,0.0,0.0,0.1316558250670564,0.0
0.578295056846728,0.578295056846198,0.21198044703151894,2.539361834472214,0.0,0.0,0.81389166253277,1.2506034896690402e-18,0.10499128736531244,6.7349777674403885e-18,1.6755566300372717e-17,7.15679169052207e-18,0.08111705010191761,3.9563935323704527e-17
0.6077425513092973,0.6077425512659373,0.21727775131969237,2.6129806103828246,0.0,0.0,0.8505519594486762,4.34354129947511e-18,0.11897094675659756,1.856594885649786e-17,1.0945666918837558e-17,0.0,0.030477093794726358,1.6502027943598814e-17
0.6371900457718667,0.6371900458041417,0.2236380879135895,2.6703414046130067,0.0,0.0,0.8312443988184496,4.834870523751944e-17,0.16875560118155053,0.0,1.0755285551056204e-16,8.810730157101265e-18,9.020562075079397e-17,0.0
0.6666375402344358,0.6666375402527089,0.23922544448138822,2.619443519526876,0.0,0.0,0.7273388490013136,1.4432945613113626e-16,0.27266115099868615,1.1681775452283619e-16,2.0160569770422186e-16,8.583071844379373e-17,2.498001805406602e-16,0.0
0.6960850346970051,0.6960850349326788,0.2641837119446484,2.4834424124911276,0.0,0.0,0.6234332983676745,0.0,0.3765667016323258,0.0,0.0,0.0,0.0,1.3903241026804857e-16
0.7255325291595744,0.7255325294254357,0.2961530943746568,2.3147910403332927,0.0,2.7900444649208355e-16,0.5195277483946172,5.891384262900932e-18,0.4804722516053833,0.0,0.0,0.0,0.0,2.187167845037883e-16
0.7549800236221438,0.754980021799509,0.3331211137657325,2.1463065301298156,3.3306690738754696e-16,0.0,0.4156222058973371,0.0,0.584377794102663,0.0,6.938893903907228e-17,0.0,0.0,2.0816681711721685e-16
0.7844275180847131,0.7844275160776961,0.37360687916958923,1.9925423154207564,0.0,0.0,0.31171665668138737,6.800116025829084e-16,0.6882833433186123,0.0,2.220446049250313e-16,3.3306690738754696e-16,1.3877787807814457e-16,0.0
0.8138750125472822,0.813875010355883,0.41658603571815783,1.8576595084897416,0.0,8.743006318923108e-16,0.20781110746543727,3.7470027081099033e-16,0.7921888925345616,4.996003610813204e-16,4.163336342344337e-16,0.0,8.604228440844963e-16,0.0
0.8433225070098516,0.8433225046340709,0.4613622778404326,1.741196762757247,0.0,4.996003610813204e-16,0.10390555824948884,0.0,0.8960944417505109,5.134781488891349e-16,3.3306690738754696e-16,0.0,5.273559366969494e-16,0.0
0.8727700014724209,0.8727699989122589,0.5074601254670836,1.6410550447599186,4.718447854656915e-16,0.0,9.033537029523586e-09,0.0,0.999999990966463,2.0816681711721685e-16,0.0,4.996003610813204e-16,0.0,0.0
